"transaction_date","post_date","type","details","amount","currency"
"2025-09-04","2025-09-05","Purchase","DOLLAR TREE #40222","3.93","CAD"
"2025-09-05","2025-09-05","Purchase","STAPLESPRINT.CA/7I64P4","28.66","CAD"
"2025-09-05","2025-09-06","Purchase","STAPLES STORE #64","13.22","CAD"
"2025-09-05","2025-09-06","Purchase","STAPLES STORE #64","13.22","CAD"
"2025-09-05","2025-09-06","Purchase","TELUS PRE-AUTH PAYMENT","59.36","CAD"
"2025-09-05","2025-09-06","Purchase","BCF - ONLINE SALES & BOOK","36.0","CAD"
"2025-09-07","2025-09-08","Purchase","BCF - SWARTZ BAY","14.47","CAD"
"2025-09-07","2025-09-08","Purchase","BCF - BC SPIRIT OF","8.17","CAD"
"2025-09-07","2025-09-09","Purchase","SS SURREY 160TH","24.6","CAD"
"2025-09-08","2025-09-09","Purchase","SAVE ON FOODS #2235","41.02","CAD"
"2025-09-09","2025-09-10","Purchase","TCM @ ST JOSEPH","9.46","CAD"
"2025-09-10","2025-09-12","Purchase","SHOPPERS DRUG MART #27","19.58","CAD"
"2025-09-11","2025-09-12","Purchase","THRIFTY FOODS #9484","7.49","CAD"
"2025-09-12","2025-09-13","Purchase","TCM @ ST JOSEPH","9.11","CAD"
"2025-09-13","2025-09-14","Purchase","REPLIT INC.","78.78","CAD"
"2025-09-14","2025-09-14","Purchase","NAMESILO","14.55","CAD"
"2025-09-15","2025-09-16","Purchase","REPLIT INC.","78.04","CAD"
"2025-09-14","2025-09-16","Purchase","SS SURREY 160TH","31.81","CAD"
"2025-09-15","2025-09-16","Purchase","TCM @ ST JOSEPH","9.76","CAD"
"2025-09-16","2025-09-17","Purchase","APPLE.COM/BILL","27.99","CAD"
"2025-09-17","2025-09-17","Purchase","REPLIT INC.","13.77","CAD"
"2025-09-17","2025-09-18","Purchase","REPLIT INC.","38.61","CAD"
"2025-09-18","2025-09-18","Purchase","APPLE.COM/BILL","4.47","CAD"
"2025-09-19","2025-09-20","Purchase","TCM @ ST JOSEPH","9.72","CAD"
"2025-09-20","2025-09-21","Purchase","TRADER JOE S #151","9.93","CAD"
"2025-09-21","2025-09-21","Purchase","SQ *CAFE BLUE","10.43","CAD"
"2025-09-21","2025-09-22","Purchase","WALGREENS #7390","27.56","CAD"
"2025-09-21","2025-09-23","Purchase","AVENUE BREAD AND DELI FA","55.18","CAD"
"2025-09-21","2025-09-23","Purchase","WANIDA THAI CUISINE","72.86","CAD"
"2025-09-22","2025-09-23","Purchase","SAPPORO KITCHEN","57.8","CAD"
"2025-09-23","2025-09-23","Purchase","OJAS BLEND (WHITE ROCK)","41.98","CAD"
"2025-09-23","2025-09-24","Purchase","FREEDOM MOBILE","39.2","CAD"
"2025-09-24","2025-09-25","Purchase","TCM @ ST JOSEPH","9.61","CAD"
"2025-09-25","2025-09-25","Purchase","NESPRESSO CANADA","88.83","CAD"
"2025-09-26","2025-09-26","Payment","From chequing account","-2336.79","CAD"
"2025-09-25","2025-09-26","Purchase","MEDCOUNCIL/CONSEILMED","905.0","CAD"
"2025-09-27","2025-09-27","Purchase","SQ *LITTLE SPROUT CAFE","36.73","CAD"
"2025-09-26","2025-09-28","Purchase","APPLE.COM/CA","119.0","CAD"
"2025-09-26","2025-09-28","Purchase","APPLE.COM/CA","14.28","CAD"
"2025-09-27","2025-09-29","Purchase","APPLEBARN PUMPKIN FARM","26.25","CAD"
"2025-09-27","2025-09-29","Purchase","REAL CDN SUPERSTORE #1","113.13","CAD"
"2025-09-28","2025-09-29","Purchase","THE HOME DEPOT #7122","96.6","CAD"
"2025-09-30","2025-10-01","Purchase","TCM @ ST JOSEPH","6.37","CAD"
"2025-10-01","2025-10-02","Purchase","TCM @ ST JOSEPH","12.14","CAD"
"2025-10-03","2025-10-04","Purchase","GITHUB INC.","5.59","CAD"
"2025-10-03","2025-10-04","Purchase","TCM @ ST JOSEPH","7.61","CAD"
