"transaction_date","post_date","type","details","amount","currency"
"2025-08-04","2025-08-05","Purchase","ABIM","1048.87","CAD"
"2025-08-05","2025-08-06","Purchase","TELUS PRE-AUTH PAYMENT","72.8","CAD"
"2025-08-04","2025-08-06","Purchase","SAFEWAY #4914","58.1","CAD"
"2025-08-07","2025-08-07","Purchase","LA MAISON SIMONS","78.35","CAD"
"2025-08-07","2025-08-08","Purchase","SAVE ON FOODS #2235","27.94","CAD"
"2025-08-10","2025-08-11","Purchase","THE HOME DEPOT #7122","12.64","CAD"
"2025-08-10","2025-08-12","Purchase","SS SURREY 160TH","55.21","CAD"
"2025-08-12","2025-08-12","Purchase","APPLE.COM/BILL","111.99","CAD"
"2025-08-12","2025-08-13","Purchase","TCM @ ST JOSEPH","8.51","CAD"
"2025-08-13","2025-08-14","Purchase","POKERRITO","40.05","CAD"
"2025-08-12","2025-08-14","Purchase","SAFEWAY #4914","6.8","CAD"
"2025-08-14","2025-08-15","Purchase","SAVE ON FOODS #2235","19.67","CAD"
"2025-08-14","2025-08-15","Purchase","CHAN'S KING GEORGE","15.61","CAD"
"2025-08-16","2025-08-16","Purchase","OPENAI","7.74","CAD"
"2025-08-15","2025-08-16","Purchase","SAVE ON FOODS #2235","31.02","CAD"
"2025-08-17","2025-08-17","Purchase","REPLIT, INC.","38.7","CAD"
"2025-08-16","2025-08-17","Purchase","CHAN'S KING GEORGE","2.21","CAD"
"2025-08-17","2025-08-17","Refund initiated","SURREY PARKS, REC AND CUL","-2.2","CAD"
"2025-08-17","2025-08-17","Refund initiated","SURREY PARKS, REC AND CUL","-2.18","CAD"
"2025-08-17","2025-08-17","Refund initiated","SURREY PARKS, REC AND CUL","-2.2","CAD"
"2025-08-17","2025-08-17","Refund initiated","SURREY PARKS, REC AND CUL","-2.18","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS, REC AND CUL","2.2","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS, REC AND CUL","-2.2","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS, REC AND CUL","2.18","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS, REC AND CUL","-2.18","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS REC AND CUL","-2.2","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS, REC AND CUL","2.18","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS REC AND CUL","-2.18","CAD"
"2025-08-18","2025-08-18","Purchase","APPLE.COM/BILL","4.47","CAD"
"2025-08-17","2025-08-18","Refund settled","SURREY PARKS, REC AND CUL","2.2","CAD"
"2025-08-17","2025-08-19","Purchase","SS SURREY 160TH","36.02","CAD"
"2025-08-20","2025-08-21","Purchase","TCM @ ST JOSEPH","8.41","CAD"
"2025-08-21","2025-08-22","Purchase","CHAN'S KING GEORGE","18.34","CAD"
"2025-08-23","2025-08-23","Purchase","SQ *LEE'S DONUTS WILLOWBR","7.5","CAD"
"2025-08-23","2025-08-23","Purchase","SQ *CHACHI'S WILLOWBROOK","15.75","CAD"
"2025-08-23","2025-08-24","Purchase","MARSHALLS/HOMESENSE 75","60.26","CAD"
"2025-08-23","2025-08-24","Purchase","FREEDOM MOBILE","39.2","CAD"
"2025-08-23","2025-08-24","Purchase","DOLLARAMA #1449","17.92","CAD"
"2025-08-22","2025-08-24","Purchase","SS SURREY 160TH","44.24","CAD"
"2025-08-24","2025-08-25","Purchase","SAVE ON FOODS #2235","36.66","CAD"
"2025-08-25","2025-08-25","Purchase","APPLE.COM/BILL","30.78","CAD"
"2025-08-25","2025-08-26","Purchase","TCM @ ST JOSEPH","9.39","CAD"
"2025-08-26","2025-08-26","Payment","From chequing account","-2261.3","CAD"
"2025-08-27","2025-08-27","Purchase","OJAS BLEND (WHITE ROCK)","28.72","CAD"
"2025-08-27","2025-08-28","Purchase","TCM @ ST JOSEPH","11.3","CAD"
"2025-08-28","2025-08-30","Purchase","WAL-MART SUPERCENTER#5853","9.9","CAD"
"2025-08-28","2025-08-30","Purchase","WAL-MART SUPERCENTER#5853","101.73","CAD"
"2025-08-31","2025-08-31","Purchase","PETRO-CANADA 69903","12.59","CAD"
"2025-08-30","2025-08-31","Purchase","BCF - BC SPIRIT OF","31.26","CAD"
"2025-08-31","2025-09-01","Purchase","THE HOME DEPOT #7055","44.76","CAD"
"2025-08-31","2025-09-01","Purchase","SHOPPERS DRUG MART #02","12.48","CAD"
"2025-08-31","2025-09-01","Purchase","DOLLARAMA 1465","3.08","CAD"
"2025-08-31","2025-09-01","Purchase","AMZN MKTP CA*MR5JI57U3","38.95","CAD"
"2025-08-31","2025-09-02","Purchase","WAL-MART SUPERCENTER#1214","2.77","CAD"
"2025-09-01","2025-09-02","Purchase","FAIRWAY MARKET","13.45","CAD"
"2025-09-02","2025-09-03","Purchase","FAIRWAY MARKET","26.34","CAD"
"2025-09-03","2025-09-03","Purchase","PORKBUN* PORKBUN.COM","7.82","CAD"
"2025-09-03","2025-09-04","Purchase","THE HOME DEPOT #7055","22.38","CAD"
"2025-09-03","2025-09-04","Purchase","TIM HORTONS #5049","4.11","CAD"
