"transaction_date","post_date","type","details","amount","currency"
"2025-05-15","2025-05-17","Purchase","NATURE'S FARE MARKETS","5.49","CAD"
"2025-05-16","2025-05-17","Purchase","APPLE.COM/BILL","27.99","CAD"
"2025-05-17","2025-05-18","Purchase","RONA SURREY 61240","10.07","CAD"
"2025-05-17","2025-05-18","Purchase","RONA SURREY 61240","2.61","CAD"
"2025-05-17","2025-05-18","Purchase","PEACH ARCH NURSERIES SURR","2.61","CAD"
"2025-05-17","2025-05-18","Purchase","OJAS BLEND (WHITE ROCK)","41.98","CAD"
"2025-05-18","2025-05-18","Purchase","APPLE.COM/BILL","4.47","CAD"
"2025-05-18","2025-05-19","Purchase","THE HOME DEPOT #7122","64.64","CAD"
"2025-05-19","2025-05-20","Purchase","GOLDCOMB BARBER SHOP","77.28","CAD"
"2025-05-20","2025-05-21","Purchase","TRADER JOE S #151","19.54","CAD"
"2025-05-20","2025-05-21","Purchase","SAVE ON FOODS #2235","28.6","CAD"
"2025-05-21","2025-05-21","Purchase","PETRO-CANADA 70007","67.29","CAD"
"2025-05-22","2025-05-23","Purchase","T&T SUPERMARKET #031","50.0","CAD"
"2025-05-22","2025-05-23","Purchase","NATIONWIDE IV AUTO WASH","13.6","CAD"
"2025-05-23","2025-05-24","Purchase","FREEDOM MOBILE","40.89","CAD"
"2025-05-24","2025-05-25","Purchase","APPLE.COM/BILL","2.79","CAD"
"2025-05-24","2025-05-25","Purchase","THE HOME DEPOT #7122","12.86","CAD"
"2025-05-26","2025-05-27","Purchase","MEDICAL EDUCATION RESOURC","1795.78","CAD"
"2025-05-26","2025-05-27","Purchase","WESTJET 8386375407347","234.07","CAD"
"2025-05-26","2025-05-27","Purchase","WESTJET 8381917695069","47.3","CAD"
"2025-05-27","2025-05-27","Purchase","WESTJET 8381917695068","47.3","CAD"
"2025-05-26","2025-05-28","Purchase","SHOPPERS DRUG MART #22","30.43","CAD"
"2025-05-29","2025-05-30","Purchase","WESTJET 8382197566121","263.06","CAD"
"2025-05-29","2025-05-30","Purchase","UBER CANADA/UBEREATS","31.08","CAD"
"2025-05-30","2025-05-30","Purchase","OJAS BLEND (WHITE ROCK)","41.98","CAD"
"2025-05-31","2025-05-31","Purchase","SP KYNAH","557.0","CAD"
"2025-05-31","2025-06-02","Purchase","RAZ*SIDDHARTH JAIN","280.72","CAD"
"2025-05-31","2025-06-02","Purchase","PAYPAL *PPUSIND PERNIA'","557.39","CAD"
"2025-05-31","2025-06-02","Purchase","SS SURREY 160TH","39.61","CAD"
"2025-05-31","2025-06-02","Purchase","THE HOME DEPOT #7122","35.94","CAD"
"2025-06-01","2025-06-02","Purchase","OLIVE FERTILITY","900.0","CAD"
"2025-06-01","2025-06-02","Purchase","PHARMASAVE #1088","6.29","CAD"
"2025-06-01","2025-06-03","Purchase","DONAIR AND SUB HOUSE","30.14","CAD"
"2025-06-01","2025-06-03","Purchase","CITY SQUARE PROPERTY","4.25","CAD"
"2025-06-02","2025-06-03","Purchase","AMAZON.CA*N68XE3FQ0","163.34","CAD"
"2025-06-02","2025-06-04","Purchase","SHOPPERS DRUG MART #27","46.25","CAD"
