"transaction_date","post_date","type","details","amount","currency"
"2025-06-05","2025-06-06","Purchase","TELUS PRE-AUTH PAYMENT","72.8","CAD"
"2025-06-05","2025-06-06","Purchase","FIELDSTONE BREAD","4.0","CAD"
"2025-06-05","2025-06-07","Purchase","SHOPPERS DRUG MART #27","20.23","CAD"
"2025-06-06","2025-06-08","Purchase","TCM @ ST JOSEPH","8.62","CAD"
"2025-06-06","2025-06-08","Purchase","SAVE ON FOODS #2235","12.53","CAD"
"2025-06-07","2025-06-08","Purchase","GQ HERMAN MENSWEAR INC","775.0","CAD"
"2025-06-07","2025-06-08","Purchase","GQ HERMAN MENSWEAR INC","961.0","CAD"
"2025-06-07","2025-06-08","Purchase","TEMU.COM","104.45","CAD"
"2025-06-06","2025-06-09","Purchase","SHOPPERS DRUG MART #27","15.36","CAD"
"2025-06-07","2025-06-09","Purchase","AGGARWAL SWEETS","19.95","CAD"
"2025-06-08","2025-06-09","Purchase","FISHBOAT RESTAURANT","8.9","CAD"
"2025-06-08","2025-06-09","Purchase","DOLLARAMA #1393","24.92","CAD"
"2025-06-08","2025-06-10","Purchase","OVERFLO DESSERT CAFE","5.25","CAD"
"2025-06-08","2025-06-10","Purchase","CANADIAN TIRE #622","29.33","CAD"
"2025-06-08","2025-06-10","Purchase","CANADIAN TIRE #622","56.77","CAD"
"2025-06-08","2025-06-10","Purchase","SAVE ON FOODS #903","40.29","CAD"
"2025-06-12","2025-06-13","Purchase","GREAT WEST DISPOSAL INC","25.0","CAD"
"2025-06-14","2025-06-14","Purchase","SQ *OBANHMI - LANGLEY","25.36","CAD"
"2025-06-14","2025-06-14","Refund initiated","LONDON DRUGS 81","-78.39","CAD"
"2025-06-14","2025-06-15","Purchase","RONA LANGLEY BYPASS 6","102.62","CAD"
"2025-06-14","2025-06-15","Refund settled","LONDON DRUGS 81","78.39","CAD"
"2025-06-14","2025-06-15","Refund settled","LONDON DRUGS 81","-78.39","CAD"
"2025-06-14","2025-06-15","Purchase","LONDON DRUGS 18","88.23","CAD"
"2025-06-14","2025-06-15","Purchase","RONA SURREY 61240","92.38","CAD"
"2025-06-14","2025-06-15","Purchase","MARSHALLS/HOMESENSE 75","110.54","CAD"
"2025-06-15","2025-06-15","Refund initiated","HOMESENSE 084","-33.59","CAD"
"2025-06-15","2025-06-15","Refund initiated","CANADIAN TIRE #622","-33.59","CAD"
"2025-06-13","2025-06-15","Purchase","SAFEWAY #4914","57.8","CAD"
"2025-06-15","2025-06-16","Purchase","DOLLARAMA #1393","13.16","CAD"
"2025-06-15","2025-06-16","Refund settled","HOMESENSE 084","33.59","CAD"
"2025-06-15","2025-06-16","Refund settled","HOMESENSE 084","-33.59","CAD"
"2025-06-16","2025-06-16","Purchase","AMZN MKTP CA*NO64G7NW2","78.4","CAD"
"2025-06-14","2025-06-16","Purchase","WAL-MART SUPERCENTER#3158","31.35","CAD"
"2025-06-15","2025-06-16","Purchase","CANADIAN TIRE #622","28.78","CAD"
"2025-06-15","2025-06-16","Refund settled","CANADIAN TIRE #622","33.59","CAD"
"2025-06-15","2025-06-16","Refund settled","CANADIAN TIRE #622","-33.59","CAD"
"2025-06-16","2025-06-16","Purchase","NESPRESSO CANADA","141.9","CAD"
"2025-06-16","2025-06-17","Purchase","APPLE.COM/BILL","27.99","CAD"
"2025-06-17","2025-06-18","Purchase","TRADER JOE S #274","22.56","CAD"
"2025-06-18","2025-06-18","Purchase","APPLE.COM/BILL","4.47","CAD"
"2025-06-17","2025-06-18","Purchase","BANFF SPRINGS HOTEL","3287.48","CAD"
"2025-06-18","2025-06-19","Purchase","SAVE ON FOODS #2235","132.23","CAD"
"2025-06-18","2025-06-19","Purchase","SAVE ON FOODS #2235","3.14","CAD"
"2025-06-20","2025-06-20","Purchase","TEMU.COM","158.58","CAD"
"2025-06-20","2025-06-20","Payment","From chequing account","-5439.07","CAD"
"2025-06-22","2025-06-22","Purchase","TBL* DR. OUBRES ACADEM","284.42","CAD"
"2025-06-21","2025-06-22","Purchase","THE PIE HOLE","37.0","CAD"
"2025-06-23","2025-06-23","Purchase","SURREY INVOICES ONLINE","1000.0","CAD"
"2025-06-23","2025-06-24","Purchase","FREEDOM MOBILE","39.2","CAD"
"2025-06-22","2025-06-24","Purchase","CHATIME CHA121","14.49","CAD"
"2025-06-24","2025-06-25","Purchase","TCM @ ST JOSEPH","10.49","CAD"
"2025-06-24","2025-06-25","Purchase","THRIFTY FOODS #9484","9.99","CAD"
"2025-06-25","2025-06-26","Purchase","DOMINOS PIZZA #10085","30.01","CAD"
"2025-06-25","2025-06-26","Purchase","PANERA BREAD #202278 P","19.46","CAD"
"2025-06-26","2025-06-27","Purchase","MR GREEK DONAIR STORE &","19.0","CAD"
"2025-06-27","2025-06-28","Purchase","TCM @ ST JOSEPH","9.83","CAD"
"2025-06-28","2025-06-28","Purchase","SQ *FAUBOURG HORNBY","28.14","CAD"
"2025-06-28","2025-06-28","Purchase","CHEWIES BUISCUIT CO.","34.65","CAD"
